"accepted.taxa.name","min_nu.biovol","mn_nu.biovol","mdn_nu.biovol","max_nu.biovol","sd_nu.biovol","n","mn_cells.per.nu","n_sources","w.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species"
"Meridion circulare",1.81224469680037,2.74023288323647,2.86033800657099,3.41580772763554,0.327727287445802,247,1,4,3238,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Fragilariophyceae",NA,"Fragilariales","Fragilariaceae","Meridion","circulare"
"Merismopedia elegans",1.60745502321467,1.89307425632101,1.94816836172713,2.17626494211415,0.214654412867866,5,12,2,732,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","elegans"
"Merismopedia glauca",0.517195897949974,1.62392462196035,1.54006962780758,2.69897000433602,0.502353568851028,30,NA,2,728,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","glauca"
"Merismopedia minima",0.190331698170291,0.684877181099811,0.700660628784151,1.15075643986031,0.306758273794413,18,27.3,1,737,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","minima"
"Merismopedia punctata",1.21537315278342,1.65457467564359,1.69897000433602,2.00230000258201,0.281978542256253,5,9.83333333333333,3,738,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","punctata"
"Merismopedia tenuissima",0.655138434811382,1.81828775949208,1.8450681983208,2.69996773469381,0.302011567746235,796,28.881,5,739,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","tenuissima"
"Merismopedia trolleri",3.20535325485986,3.20535325485986,3.20535325485986,3.20535325485986,NA,1,32,1,741,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Merismopedia","trolleri"
"Mesodinium rubrum",2.95632213583245,3.1864132508459,3.24705217485662,3.41034525399898,0.0975943490402024,83,1,1,46289,"Species","Protozoa",NA,NA,NA,NA,"Ciliophora","Ciliatea","Rhabdophorina",NA,"Didiniidae","Mesodinium","rubrum"
"Mesoporos perforatus",3.15738422855131,3.9821460233175,4.0604727041731,4.42360381448271,0.336054614539054,33,1,1,9920,"Species","Chromista","Chromista",NA,"Pyrrophycophyta",NA,NA,"Dinophyceae",NA,"Prorocentrales","Prorocentraceae","Mesoporos","perforatus"
"Micractinium pusillum",1.72312715879569,2.46875677992604,2.41497334797082,3.13924285059758,0.276479253741879,265,6.9,6,6322,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Chlorococcales","Micractiniaceae","Micractinium","pusillum"
