"accepted.taxa.name","min_nu.biovol","mn_nu.biovol","mdn_nu.biovol","max_nu.biovol","sd_nu.biovol","n","mn_cells.per.nu","n_sources","w.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species"
"Cosmarium phaseolus",2.64221712947388,3.46704148249359,3.72427586960079,4.14751601726958,0.562549240683449,39,NA,2,8203,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","phaseolus"
"Cosmarium protractum",3.30102999566398,3.81817695505415,3.78989179830841,4.28638909722852,0.32039002265948,10,NA,2,8032,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","protractum"
"Cosmarium pseudopyramidatum",4.87255831906767,4.87255831906767,4.87255831906767,4.87255831906767,NA,1,NA,1,8048,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","pseudopyramidatum"
"Cosmarium pseudotaxichondrum",4.15582168971797,4.15582168971797,4.15582168971797,4.15582168971797,NA,1,NA,1,8051,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","pseudotaxichondrum"
"Cosmarium punctulatum",4.01089331310438,4.21858703215861,4.22687217718287,4.33114374837157,0.0866407335241992,18,NA,2,8055,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","punctulatum"
"Cosmarium pygmaeum",1.99790364283908,2.31330624984331,2.17413434465785,2.90036712865647,0.27749480693626,109,NA,1,8059,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","pygmaeum"
"Cosmarium quadrum",5.05144967121346,5.05144967121346,5.05144967121346,5.05144967121346,NA,1,NA,1,8072,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","quadrum"
"Cosmarium quinarium",4,4,4,4,NA,1,NA,1,8075,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","quinarium"
"Cosmarium regnellii",2.6730209071289,2.85364297047033,2.85853719756964,3.17522180034305,0.138183830419315,25,NA,2,8084,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","regnellii"
"Cosmarium regnesi",2.59988307207369,2.68032098871834,2.66651798055488,2.76863810124761,0.0528647969718386,15,NA,1,8088,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","regnesi"
"Cosmarium reniforme",2.66275783168157,2.8599834467692,2.69897000433602,3.36875161954456,0.273645814410771,9,NA,1,8089,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","reniforme"
"Cosmarium sphagnicolum",1.69231796872981,2.18922273810475,2.09441589106115,2.82118588260885,0.269368633769748,142,NA,1,8105,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","sphagnicolum"
"Cosmarium subcostatum",2.36172783601759,3.01206135501742,3.09691001300806,3.80345711564841,0.372382668594604,75,NA,1,8115,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","subcostatum"
"Cosmarium subcrenatum",3.67522825359306,3.73839960133549,3.72090317081346,3.87384353322344,0.0783765948080737,5,NA,1,8119,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","subcrenatum"
"Cosmarium subprotumidum",3.30102999566398,3.30102999566398,3.30102999566398,3.30102999566398,NA,1,NA,1,8124,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","subprotumidum"
"Cosmarium tenue",1.75273969393533,2.13188060472687,2.14734989414632,2.57606478822538,0.243047269217447,16,1,3,8137,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","tenue"
"Cosmarium tinctum",1.34222522936079,1.78106749911261,1.85626295502937,2.36344274127914,0.332042907514985,8,1,1,8142,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","tinctum"
"Cosmarium transitorium",4.67829070171804,4.67829070171804,4.67829070171804,4.67829070171804,NA,1,NA,1,8221,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","transitorium"
"Cosmarium trilobulatum",3.92603359667884,4.27642125346274,4.26443674484091,4.53720183257685,0.190106343870393,14,NA,1,8144,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","trilobulatum"
"Cosmarium tumidum",3.71899963787872,4.17318274723573,4.17318274723573,4.62736585659273,0.642311913053462,2,NA,2,8147,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","tumidum"
"Cosmarium turpinii",4.87390159786446,4.93918841820596,4.92427928606188,5.05266316708922,0.0669344764523306,5,NA,2,8148,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","turpinii"
"Cosmarium undulatum",3.33805787541976,3.62987269029869,3.69031714588007,3.82052984852352,0.207165091554686,8,NA,1,8155,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","undulatum"
"Cosmarium venustum",1.95424250943932,1.95424250943932,1.95424250943932,1.95424250943932,NA,1,NA,1,8161,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Cosmarium","venustum"
"Cosmioneis pusilla",3.5572665288699,3.65963176371614,3.66569785515946,3.73671513360561,0.0592783278568629,6,NA,1,591119,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Cosmioneidaceae","Cosmioneis","pusilla"
"Craticula accomoda",1.63447727016073,2.36586316008016,2.50373732913991,2.98362628712453,0.529625859028434,10,NA,1,591129,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Stauroneidaceae","Craticula","accomoda"
"Craticula ambigua",2.07918124604762,2.51293027559303,2.13987908640124,3.31973049433022,0.699368287579362,3,NA,1,591123,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Stauroneidaceae","Craticula","ambigua"
"Craticula cuspidata",3.27461961909124,3.96056515233006,3.89680169766492,4.57749179983723,0.355689048673343,54,NA,1,591122,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Stauroneidaceae","Craticula","cuspidata"
"Craticula halophila",2.24551266781415,2.9815886061443,2.8152132263016,3.52955867302116,0.424223775155472,37,NA,2,591481,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Stauroneidaceae","Craticula","halophila"
"Craticula vixvisibilis",3.09795107099415,3.09795107099415,3.09795107099415,3.09795107099415,NA,1,NA,1,591120,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Stauroneidaceae","Craticula","vixvisibilis"
"Crucigenia crucifera",1.94997517782965,2.38418911721953,2.41685605975264,2.78045110896544,0.282726986497877,6,15.2,3,6227,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","crucifera"
"Crucigenia fenestrata",2.10720996964787,2.50614287472963,2.42904230831324,3.02479342333876,0.226654693804434,33,1,2,6228,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","fenestrata"
"Crucigenia lauterbornii",2.65523196992618,2.65523196992618,2.65523196992618,2.65523196992618,NA,1,NA,1,6234,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","lauterbornii"
"Crucigenia quadrata",1.55678478230703,2.18174930202199,2.09526806594108,2.82118588260885,0.262226727981865,341,4.93333333333333,7,6235,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","quadrata"
"Crucigenia tetrapedia",1.39357520326959,2.25569671760148,2.29275746969799,3,0.324669999784309,570,2.41463414634146,7,6226,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","tetrapedia"
"Crucigenia truncata",1.54777470538782,1.92703301811892,1.6899531290612,2.78045110896544,0.575145758072983,4,16,3,6240,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Sphaeropleales","Scenedesmaceae","Crucigenia","truncata"
"Crypthecodinium cohnii",1.87737134586977,2.50871801810125,2.47258094134073,3.15100497546668,0.27014902115177,169,1,1,10577,"Species","Chromista","Chromista",NA,"Pyrrophycophyta",NA,NA,"Dinophyceae",NA,"Gonyaulacales","Crypthecodiniaceae","Crypthecodinium","cohnii"
"Cryptomonas curvata",2.90308998699194,3.34497626963297,3.53781909507327,4.09968064110925,0.339541213660693,431,1,2,10655,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","curvata"
"Cryptomonas erosa",2.09871293057888,2.97734652747623,3.03300756524724,3.8546096380958,0.417887516859399,2619,1,6,10641,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa"
"Cryptomonas lucens",1.81663894489846,1.96961891228441,1.97382032435268,2.22873390837614,0.124286496266982,91,1,3,180945,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","lucens"
"Cryptomonas marssonii",2.2018521212001,2.9275936251747,3.04134196759634,3.70197072223433,0.345898577708313,3023,NA,1,10648,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","marssonii"
"Cryptomonas obovata",2.55630250076729,2.95442730914131,2.73772259332804,3.56925683332861,0.540129447776617,3,NA,1,180947,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","obovata"
"Cryptomonas ovata",2.48287358360875,3.09767868137055,3.1025949067292,3.76102223995002,0.320667141572784,613,1,7,10646,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","ovata"
"Cryptomonas pyrenoidifera",2.44664070610904,3.14680817243206,3.04114430397793,3.87040390527903,0.419254575219143,57,NA,1,10658,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","pyrenoidifera"
"Cryptomonas reflexa",2.25422221563881,2.95071770181804,3.11331256863472,3.94173723957647,0.448485112561774,1982,NA,1,10659,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","reflexa"
"Cryptomonas rostratiformis",2.9391446993553,3.37126809985201,3.37508115923315,3.83439355147936,0.202615671851312,335,1,3,10660,"Species","Chromista","Chromista",NA,"Cryptophycophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas","rostratiformis"
"Cyclostephanos dubius",1.75204844781944,2.32219075487005,2.30319605742049,2.91750550955255,0.249929698001706,80,NA,2,591126,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclostephanos","dubius"
"Cyclostephanos invisitatus",1.27415784926368,2.13273270303601,2.06628992382987,2.89817648349768,0.380806240113925,138,1.02884615384615,2,591109,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclostephanos","invisitatus"
"Cyclostephanos tholiformis",1.71850168886727,2.26836643380137,2.25285303097989,2.67669360962487,0.239871069187656,76,1,2,591095,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclostephanos","tholiformis"
"Cyclotella aliquantula",1.75281643118827,1.75281643118827,1.75281643118827,1.75281643118827,NA,1,NA,1,2458,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","aliquantula"
"Cyclotella atomus",0.673020907128896,1.77429968456051,1.85308952985187,2.51454775266029,0.322580626633745,536,1,2,2457,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","atomus"
"Cyclotella bodanica",1.75434833571102,3.04518061396429,3.20511764910539,4.10994958023059,0.733840522854601,66,1,4,2460,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","bodanica"
"Cyclotella catenata",1.69897000433602,1.69897000433602,1.69897000433602,1.69897000433602,NA,1,NA,1,2461,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","catenata"
"Cyclotella comensis",1.69028470251263,2.46233182656522,2.66275783168157,3.26834391395106,0.413349844964133,78,1,4,2464,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","comensis"
"Cyclotella comta",3.14270224573762,3.14270224573762,3.14270224573762,3.14270224573762,NA,1,NA,1,2465,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","comta"
"Cyclotella cryptica",2.37291200297011,2.37291200297011,2.37291200297011,2.37291200297011,NA,1,NA,1,2469,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","cryptica"
"Cyclotella distinguenda",1.69097002954219,2.33929457529678,2.30269881899179,3.49790226298595,0.476097090478537,45,1,4,591103,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","distinguenda"
"Cyclotella gamma",4.00919585351952,4.00919585351952,4.00919585351952,4.00919585351952,NA,1,NA,1,591106,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","gamma"
"Cyclotella glomerata",1.47706752535155,1.99870999541031,1.90149081368661,2.56937390961505,0.246089867212182,894,1,3,2470,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","glomerata"
"Cyclotella meneghiniana",1.88649072517248,2.81578691174043,2.78958071216443,3.73469361040475,0.412963069735887,1430,1,5,2445,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","meneghiniana"
"Cyclotella michiganiana",2.29225607135648,2.47593591701877,2.46982201597816,2.72997428569956,0.117549388894976,41,NA,1,2471,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","michiganiana"
"Cyclotella ocellata",1.28780172993023,2.16781863530178,2.09187789962941,3.1759580549889,0.381616459613635,81,1,4,2472,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","ocellata"
"Cyclotella planctonica",2.06069784035361,2.4454239922886,2.48447484049067,2.75204844781944,0.274252346879664,8,NA,1,591102,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","planctonica"
"Cyclotella pseudostelligera",1.22788670461367,1.80630099449805,1.91009054559407,2.54654266347813,0.320555926832094,103,1,4,2481,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","pseudostelligera"
"Cyclotella radiosa",2.47226875192525,3.06888369941894,3.17367178493227,3.69897000433602,0.279296180354542,871,1,3,591101,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","radiosa"
"Cyclotella rossii",2.09691001300806,2.87685061270718,2.90303607420162,3.76566562195186,0.469072365797542,371,NA,1,591133,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","rossii"
"Cyclotella stelligera",2.12385164096709,2.70963094588339,2.81304366453459,3.24623999520799,0.25315279596849,123,1.08823529411765,4,2452,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","stelligera"
"Cyclotella striata",3.04139268515822,3.24637070341675,3.19617618503997,3.54826654517075,0.128803241495692,52,NA,1,2453,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Thalassiosirales","Stephanodiscaceae","Cyclotella","striata"
"Cylindrocapsa conferta",1.87737134586977,2.22883688333371,2.29003461136252,2.45788189673399,0.201966458913392,9,NA,1,9380,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Chlorococcales","Cylindrocapsaceae","Cylindrocapsa","conferta"
"Cylindrocapsa geminella",1.60530504614111,2.16471399275237,2.07188200730613,2.89097959698969,0.400817465073392,15,NA,1,9381,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Chlorococcales","Cylindrocapsaceae","Cylindrocapsa","geminella"
"Cylindrocystis brebissonii",3.8636796678759,4.12246111391104,4.17851652373358,4.32518715012365,0.23580488919962,3,NA,1,8898,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Mesotaeniaceae","Cylindrocystis","brebissonii"
"Cylindrospermopsis raciborskii",2.16571902980083,2.68643630870928,2.65531134951371,3.29649042834404,0.26596476875241,71,13.8551617647059,2,203690,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Nostocales","Nostocaceae","Cylindrospermopsis","raciborskii"
"Cylindrotheca gracilis",2.13033376849501,2.49461610635384,2.46089784275655,2.77305469336426,0.195031204009942,14,NA,1,615881,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Bacillariales","Bacillariaceae","Cylindrotheca","gracilis"
"Cymatopleura elliptica",4.23923689616232,4.64885423679773,4.64885423679773,5.05847157743314,0.579286398509797,2,1,2,3259,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Surirellales","Surirellaceae","Cymatopleura","elliptica"
"Cymatopleura solea",3.20112389720738,3.70823248335028,3.64650175003161,4.37498650130111,0.269440612374369,37,NA,1,3262,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Surirellales","Surirellaceae","Cymatopleura","solea"
"Cymatosira belgica",1.42975228000241,1.62940004651172,1.6730209071289,1.71432975974523,0.0630802838942598,42,NA,1,3193,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Cymatosirales","Cymatosiraceae","Cymatosira","belgica"
"Cymbella aequalis",3.12254352406875,3.24619957301511,3.30642502755069,3.3096301674259,0.107101270119328,3,NA,1,4881,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","aequalis"
"Cymbella affinis",1.98900461569854,2.65711116489997,2.66275783168157,3.30837229980631,0.228902230921584,679,1,3,4803,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","affinis"
"Cymbella amphicephala",1.93746773964338,2.38752808893944,2.38752808893944,2.83758843823551,0.63648144986087,2,1,2,4804,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","amphicephala"
"Cymbella angustata",3.31597034545692,3.31597034545692,3.31597034545692,3.31597034545692,NA,1,NA,1,4807,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","angustata"
"Cymbella aspera",3.92875420217665,4.00315311020353,4.00651702310457,4.11240389271787,0.0455243240901472,14,NA,1,4810,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","aspera"
"Cymbella austriaca",3.07918124604762,3.16685568029422,3.17609125905568,3.21748394421391,0.0372417415912416,15,NA,1,4813,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","austriaca"
"Cymbella cesatii",2.49136169383427,2.49136169383427,2.49136169383427,2.49136169383427,NA,1,NA,1,4815,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","cesatii"
"Cymbella cistula",2.8234742291703,3.03979968400807,2.96567197122011,3.2626883443017,0.143552984389808,61,NA,1,4816,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","cistula"
"Cymbella cymbiformis",2.30102999566398,3.08903442567538,3.10754912974469,3.85733249643127,0.354913537396615,53,NA,1,4893,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","cymbiformis"
"Cymbella delicatula",1.77815125038364,2.37596656409049,2.38560627359831,2.89209460269048,0.244858201362098,233,NA,1,4824,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","delicatula"
"Cymbella diluviana",2.77524625974024,2.77524625974024,2.77524625974024,2.77524625974024,NA,1,NA,1,4846,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","diluviana"
"Cymbella helvetica",3.23299611039215,3.25352481996585,3.24427712080184,3.28330122870355,0.0263968025895534,3,NA,1,4908,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","helvetica"
"Cymbella heteropleura",4.4646683552929,4.49647106622997,4.49647106622997,4.52827377716704,0.0449758251274355,2,NA,1,4896,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","heteropleura"
"Cymbella hustedtii",2.01703333929878,2.40729913730721,2.49686797228263,2.82736927305383,0.277313961624837,40,NA,1,4832,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","hustedtii"
"Cymbella incerta",2.20411998265592,2.71185225443509,2.71185225443509,3.21958452621425,0.718041864804597,2,NA,1,4834,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","incerta"
"Cymbella laevis",1.76789761601809,2.37111785239868,2.63839628460867,3.08457627793433,0.444863855472599,30,NA,1,4835,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","laevis"
"Cymbella lanceolata",3.30813737863804,4.15730171044363,4.15730171044363,5.00646604224923,1.20089971472296,2,NA,1,4836,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","lanceolata"
"Cymbella leptoceros",1.57518784492766,1.84782316503185,1.89209460269048,2.26481782300954,0.244012547535489,20,NA,1,4840,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","leptoceros"
"Cymbella mexicana",4.21571685524952,4.61989218361273,4.68254217039601,4.8713919418021,0.214968144842722,19,NA,1,4843,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","mexicana"
"Cymbella microcephala",1.29003461136252,1.65095062398329,1.61431565249485,2.13987908640124,0.199446365500148,124,1,2,4796,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","microcephala"
"Cymbella naviculiformis",1.67024585307412,1.89091844089489,1.93084126778515,1.99122607569249,0.113786129121743,16,NA,1,4852,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Cymbellales","Cymbellaceae","Cymbella","naviculiformis"
